# canonical	part_of_speech	senel	aliases (pipe-separated)
glove	noun	hutkil	
scarf	noun	hutkip	
belt	noun	gippes	
button	noun	gipkol	
pocket	noun	peswun	
# --- body ---
hair	noun	kalpop	
tooth	noun	kapker	
tongue	noun	kapnak	
lip	noun	kapkor	
neck	noun	kalkot	
nail	noun	kirker	
chest	noun	kanwek	
knee	noun	kiskot	
# --- family ---
son	noun	relrom	
daughter	noun	relrem	
baby	noun	relyim	
husband	noun	resrom	
wife	noun	resrem	
grandmother	noun	rekrem	
grandfather	noun	rekrom	
uncle	noun	reprom	
aunt	noun	reprem	
cousin	noun	rep	
# --- animals ---
cow	noun	tit	
goat	noun	tip	
duck	noun	tik	
eagle	noun	tel	
owl	noun	tel	
shark	noun	ter	
whale	noun	tek	
snake	noun	tet	
frog	noun	tet	
turtle	noun	tet	
lizard	noun	tet	
bee	noun	tes	
ant	noun	tes	
spider	noun	tes	
butterfly	noun	tes	
mouse	noun	tek	
rat	noun	tek	
rabbit	noun	tek	
lion	noun	tek	
tiger	noun	tek	
bear	noun	tek	
wolf	noun	tek	
fox	noun	tek	
deer	noun	tek	
monkey	noun	tek	
elephant	noun	tek	
# --- nature & weather ---
nature	noun	lit	
earth	noun	pas	
ground	noun	pas	
rock	noun	pak	
hill	noun	wakwos	
mountain	noun	pakwos	
valley	noun	wakwok	
river	noun	palwut	
lake	noun	palwal	
ocean	noun	wat	
beach	noun	watwus	
forest	noun	tarwal	
field	noun	taswal	
desert	noun	patwal	
ice	noun	palpun	
smoke	noun	lulpur	
# --- colours ---
red	property	ninkel	
green	property	nintas	
blue	property	ninlis	
yellow	property	ninlin	
orange	property	nintul	
purple	property	nintap	
pink	property	kelnil	
brown	property	ninpas	
grey	property	ninlas	
gold	property	ponlin	
silver	property	ponnil	
# --- everyday verbs ---
sit	verb	bokhir	
stand	verb	boskis	
crawl	verb	bokben	
feel	verb	fan	
shout	verb	nolsan	
whisper	verb	norsan	
hope	verb	falyas	
wish	verb	fal	
bring	verb	binbar	
catch	verb	gindal	
count	verb	sansut	
# --- everyday qualities ---
high	property	wosgo	
low	property	wosdi	
wide	property	wotgo	
narrow	property	wotdi	
thick	property	wokgo	
thin	property	wokdi	
soft	property	gispi	
wet	property	palpi	
dry	property	loppi	
early	property	yin	
late	property	yil	
# --- misc ---
number	noun	sut	
pen	noun	sirpen	

# ===== colloquial & anatomy (v1.4) — literal dictionary senses =====
suck	verb	kapbir	
buttocks	noun	kitbok	
ass	noun	kitbok	
arse	noun	kitbok	
butt	noun	kitbok	
bum	noun	kitbok	
asshole	noun	kitbok	
penis	noun	kemrom	
dick	noun	kemrom	
cock	noun	kemrom	
vagina	noun	kemrem	
pussy	noun	kemrem	
breast	noun	kanwek	
boob	noun	kanwek	
tit	noun	kanwek	
shit	noun	hus	
crap	noun	hus	
poop	noun	hus	
poo	noun	hus	
piss	noun	hus	
pee	noun	hus	
sex	noun	kemget	
fuck	verb	kemget	
bitch	noun	tilrem	
naked	property	nahut	
nude	property	nahut	
while	gram	yir	whilst|meanwhile

# --- verb & misc gaps found in expressiveness audit ---
sing	verb	nosnel	
tail	noun	kitkop	

# --- reverse-gloss aliases for the productive size adjectives ---
big	property	urgo	large
small	property	urdi	little
tall	property	wosgo	
short	property	wopdi	

# ===== abstract & function vocabulary (v1.7) =====
someone	noun	ran kam	
somebody	noun	ran kam	
everybody	noun	ran lam	
anyone	noun	ran wam	
anybody	noun	ran wam	
no one	noun	ran yam	
nobody	noun	ran yam	
something	noun	um kam	
everything	noun	um lam	
anything	noun	um wam	
nothing	noun	um yam	
somewhere	noun	wan kam	
everywhere	noun	wan lam	
anywhere	noun	wan wam	
nowhere	noun	wan yam	
accept	verb	dit	
achieve	verb	gus	
agree	verb	sot	
action	noun	gan	
activity	noun	gan	
actual	property	el	
ancient	property	yum	
announce	verb	san	
appear	verb	nit	
apply	verb	gul	
approve	verb	fus	
argue	verb	sok	
aspect	noun	kon	
assume	verb	met	
attach	verb	get	
attack	verb	rul	
attitude	noun	mot	
aware	property	mal	
beauty	noun	nim	
belief	noun	mar	
belong	verb	dar	
benefit	noun	fit	
breath	noun	het	
capable	property	gol	
care	noun	mol	
climate	noun	lon	
combine	verb	get	
comfort	noun	nul	
community	noun	ral	
complex	property	gom	
confidence	noun	fon	
confirm	verb	mep	
connect	verb	get	
consider	verb	man	
control	verb	rup	
courage	noun	fut	
crisis	noun	mip	
crowd	noun	ral	
damage	verb	rul	
danger	noun	rul	
deal	noun	den	
decision	noun	mes	
declare	verb	san	
defend	verb	rip	
deliver	verb	dip	
design	noun	mek	
desire	verb	fal	
determine	verb	mes	
disappear	verb	nip	
discover	verb	dap	
discuss	verb	sil	
disease	noun	hol	
effect	noun	ep	
effort	noun	gur	
element	noun	kon	
energy	noun	lun	
entire	property	ut	
escape	verb	bul	
evidence	noun	muk	
exact	property	fir	
express	verb	san	
faith	noun	fon	
fault	noun	mus	
favour	noun	run	
feed	verb	henla	
figure	noun	kuk	
final	property	yik	
finance	noun	det	
focus	noun	mol	
freedom	noun	fum	
frequent	property	yor	
goal	noun	mor	
govern	verb	rup	
grant	verb	dan	
guide	verb	bap	
handle	verb	gin	
history	noun	yar	
honour	noun	fol	
hurry	verb	yun	
ignore	verb	nanal	
imagine	verb	mok	
independent	property	fum	
indicate	verb	sit	
industry	noun	gun	
influence	verb	gal	
inform	verb	san	
innocent	property	nafis	
instant	noun	yak	
intend	verb	mor	
invent	verb	gen	
issue	noun	mip	
item	noun	um	
justice	noun	rum	
knowledge	noun	mal	
leadership	noun	rin	
legal	property	rol	
liberty	noun	fum	
limit	noun	wum	
link	verb	get	
loss	noun	dat	
maintain	verb	dak	
major	property	fik	
mention	verb	san	
mercy	noun	fok	
military	noun	rop	
mistake	noun	mus	
motion	noun	ban	
mystery	noun	nip	
necessary	property	far	
nervous	property	fer	
notice	verb	nan	
notion	noun	mit	
object	noun	um	
observe	verb	nal	
obtain	verb	dap	
obvious	property	nis	
occasion	noun	yak	
offer	verb	dan	
operate	verb	gul	
oppose	verb	ruk	
option	noun	fun	
organise	verb	mek	
pattern	noun	nik	
peace	noun	fep	
perfect	property	gup	
perform	verb	gan	
permit	verb	fus	
plain	property	nis	
plenty	noun	pam	
polite	property	fol	
possess	verb	dar	
practical	property	fit	
precious	property	dot	
present	noun	dik	
preserve	verb	dak	
prevent	verb	bas	
prize	noun	dik	
proper	property	fir	
protect	verb	rip	
proud	property	fos	
provide	verb	dur	
purpose	noun	mor	
quantity	noun	ul	
rapid	property	yun	
realise	verb	mal	
recognise	verb	mal	
recover	verb	hat	
reject	verb	fur	
request	verb	sal	
require	verb	far	
rescue	verb	run	
resist	verb	got	
reveal	verb	nit	
reward	noun	dik	
rule	noun	rol	
scheme	noun	mek	
secret	property	nip	
section	noun	kon	
shock	noun	fek	
signal	noun	sik	
silent	property	nor	
sincere	property	el	
sorrow	noun	fel	
stable	property	yup	
staff	noun	ril	
steady	property	yup	
stock	noun	duk	
stuff	noun	um	
success	noun	gus	
suffer	verb	nun	
support	verb	run	
suppose	verb	met	
survive	verb	han	
suspect	verb	mas	
swear	verb	sat	
swift	property	yun	
talent	noun	mik	
task	noun	gun	
territory	noun	was	
theory	noun	mur	
tidy	property	hul	
total	property	ut	
tough	property	gom	
treasure	noun	dos	
treaty	noun	sot	
tribe	noun	ral	
trouble	noun	mip	
truth	noun	mul	
type	noun	tot	
ultimate	property	yik	
unite	verb	get	
usual	property	yor	
vary	verb	gas	
vast	property	urgo	
victory	noun	gus	
vital	property	fik	
vote	verb	fun	
willing	property	ful	
witness	verb	nal	
science	noun	misko	
scholar	noun	misra	
author	noun	sirra	
weapon	noun	rulte	
annual	property	yerpi	
medical	property	hospi	
terrible	property	filgo	
excellent	property	fingo	
ugly	property	nanim	
rare	property	nayor	
valuable	property	dotgo	
within	noun	wen	
beneath	noun	wes	
among	noun	yit	
